Artists,Title,Song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Kurt Vile,b'lieve i'm goin down...,spotify:track:3l9eg9RtisizG12a1D6nZl,0.566,0.664,8,-9.081,1,0.0281,0.0928,0.305,0.0903,0.764,91.117,audio_features,3l9eg9RtisizG12a1D6nZl,spotify:track:3l9eg9RtisizG12a1D6nZl,https://api.spotify.com/v1/tracks/3l9eg9RtisizG12a1D6nZl,https://api.spotify.com/v1/audio-analysis/3l9eg9RtisizG12a1D6nZl,298760,4
The National,Trouble Will Find Me,spotify:track:50M7nY1oQuNHecs0ahWAtI,0.52,0.436,0,-11.508,0,0.0355,0.865,0.0651,0.123,0.114,126.053,audio_features,50M7nY1oQuNHecs0ahWAtI,spotify:track:50M7nY1oQuNHecs0ahWAtI,https://api.spotify.com/v1/tracks/50M7nY1oQuNHecs0ahWAtI,https://api.spotify.com/v1/audio-analysis/50M7nY1oQuNHecs0ahWAtI,245240,4
Galaxie 500,On Fire,spotify:track:2TTAPkrGQQOZkaUTUlt21Q,0.312,0.844,7,-7.085,1,0.0511,0.0798,0.0231,0.0793,0.626,97.039,audio_features,2TTAPkrGQQOZkaUTUlt21Q,spotify:track:2TTAPkrGQQOZkaUTUlt21Q,https://api.spotify.com/v1/tracks/2TTAPkrGQQOZkaUTUlt21Q,https://api.spotify.com/v1/audio-analysis/2TTAPkrGQQOZkaUTUlt21Q,199467,4
Windir,1184,spotify:track:7BvcpEdO7PUDGGSER1S9LA,0.236,0.87,2,-4.747,0,0.0579,1.07e-05,0.93,0.305,0.186,167.845,audio_features,7BvcpEdO7PUDGGSER1S9LA,spotify:track:7BvcpEdO7PUDGGSER1S9LA,https://api.spotify.com/v1/tracks/7BvcpEdO7PUDGGSER1S9LA,https://api.spotify.com/v1/audio-analysis/7BvcpEdO7PUDGGSER1S9LA,295131,4
The Weeknd,After Hours,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
Venom,From The Very Depths,spotify:track:7AEkZ1EgzDrled3sxpPHZ4,0.392,0.99,6,-5.539,1,0.0694,4.63e-06,0.276,0.103,0.17,142.684,audio_features,7AEkZ1EgzDrled3sxpPHZ4,spotify:track:7AEkZ1EgzDrled3sxpPHZ4,https://api.spotify.com/v1/tracks/7AEkZ1EgzDrled3sxpPHZ4,https://api.spotify.com/v1/audio-analysis/7AEkZ1EgzDrled3sxpPHZ4,242253,4
Uada,Devoid of Light,spotify:track:4pkADG8kSJzbTjQxvpjbdY,0.111,0.915,10,-6.089,1,0.0798,1.11e-05,0.279,0.388,0.0613,93.054,audio_features,4pkADG8kSJzbTjQxvpjbdY,spotify:track:4pkADG8kSJzbTjQxvpjbdY,https://api.spotify.com/v1/tracks/4pkADG8kSJzbTjQxvpjbdY,https://api.spotify.com/v1/audio-analysis/4pkADG8kSJzbTjQxvpjbdY,356847,4
Turnstile,GLOW ON,spotify:track:5iXnD2VizcAbErpkcuNQ6I,0.403,0.892,0,-6.244,1,0.0913,0.00374,0.0113,0.882,0.185,163.991,audio_features,5iXnD2VizcAbErpkcuNQ6I,spotify:track:5iXnD2VizcAbErpkcuNQ6I,https://api.spotify.com/v1/tracks/5iXnD2VizcAbErpkcuNQ6I,https://api.spotify.com/v1/audio-analysis/5iXnD2VizcAbErpkcuNQ6I,155200,4
Tom Waits,Rain Dogs,spotify:track:5TeoCsHbzWo9UgMW3rv7JL,0.784,0.401,7,-15.166,1,0.0407,0.6,0.0929,0.0935,0.795,142.794,audio_features,5TeoCsHbzWo9UgMW3rv7JL,spotify:track:5TeoCsHbzWo9UgMW3rv7JL,https://api.spotify.com/v1/tracks/5TeoCsHbzWo9UgMW3rv7JL,https://api.spotify.com/v1/audio-analysis/5TeoCsHbzWo9UgMW3rv7JL,226667,4
Tombs,Savage Gold,spotify:track:71MHVUJYwhVuKZmt7EgJFS,0.329,0.993,5,-4.597,0,0.151,1.06e-06,0.596,0.442,0.12,155.117,audio_features,71MHVUJYwhVuKZmt7EgJFS,spotify:track:71MHVUJYwhVuKZmt7EgJFS,https://api.spotify.com/v1/tracks/71MHVUJYwhVuKZmt7EgJFS,https://api.spotify.com/v1/audio-analysis/71MHVUJYwhVuKZmt7EgJFS,328943,4
